S.No,LGAs,Year,Adult_Population
20660,Banyule,2016.0,"99,850"
20910,Bayside,2016.0,"78,669"
21110,Boroondara,2016.0,"138,430"
21180,Brimbank,2016.0,"158,457"
21450,Cardinia,2016.0,"72,402"
21610,Casey,2016.0,"231,449"
21890,Darebin,2016.0,"123,281"
22170,Frankston,2016.0,"109,114"
22310,Glen Eira,2016.0,"115,105"
22670,Greater Dandenong,2016.0,"124,599"
23110,Hobsons Bay,2016.0,"72,429"
23270,Hume,2016.0,"153,462"
23430,Kingston,2016.0,"124,594"
23670,Knox,2016.0,"127,047"
24210,Manningham,2016.0,"97,529"
24330,Maribyrnong,2016.0,"69,093"
24410,Maroondah,2016.0,"89,771"
24600,Melbourne,2016.0,"127,232"
24650,Melton,2016.0,"102,097"
24970,Monash,2016.0,"153,720"
25060,Moonee Valley,2016.0,"97,118"
25250,Moreland,2016.0,"136,461"
25340,Mornington Peninsula,2016.0,"128,156"
25710,Nillumbik,2016.0,"49,213"
25900,Port Phillip,2016.0,"89,077"
26350,Stonnington,2016.0,"90,965"
26980,Whitehorse,2016.0,"134,835"
27070,Whittlesea,2016.0,"155,311"
27260,Wyndham,2016.0,"163,311"
27350,Yarra,2016.0,"76,983"
27450,Yarra Ranges,2016.0,"121,080"
